description,go_BioProc,go_CellComp,go_MolFunc,proteinname
"S-adenosyl-L-homocysteine hydrolase, catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor",methionine metabolic process:triglyceride metabolic process:phosphatidylcholine biosynthetic process:one-carbon metabolic process:selenocysteine metabolic process:S-adenosylhomocysteine catabolic process:S-adenosylmethionine cycle,cytoplasm:cytosol,adenosylhomocysteinase activity:hydrolase activity:NAD binding,Sah1p
"Member of a complex (Isw1b) with Isw1p and Ioc4p that exhibits nucleosome-stimulated ATPase activity and acts within coding regions to coordinate transcription elongation with termination and processing, contains a PHD finger motif","chromatin remodeling:transcription, DNA-templated:regulation of transcription, DNA-templated",nucleus:Isw1 complex:Isw1b complex,DNA binding:protein binding:ATPase activity:nucleosome binding,Ioc2p
"Co-chaperone for Hsp40p, anchored in the ER membrane; with its homolog Ydj1p promotes ER-associated protein degradation (ERAD) of integral membrane substrates; similar to E. coli DnaJ",ubiquitin-dependent ERAD pathway:positive regulation of ATPase activity,endoplasmic reticulum:endoplasmic reticulum membrane,ATPase activator activity,Hlj1p
"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",biological_process unknown,mitochondrion,molecular_function unknown,YDL157C
"Component of the EKC/KEOPS protein complex with Kae1p, Cgi121p, Pcc1p, and Bud32p; EKC/KEOPS complex is required for t6A tRNA modification and may have roles in telomere maintenance and transcription; implicated in osmotic stress response","cell wall mannoprotein biosynthetic process:telomere maintenance via recombination:telomere maintenance:transcription, DNA-templated:regulation of transcription, DNA-templated:tRNA processing:positive regulation of transcription from RNA polymerase II promoter","EKC/KEOPS complex:chromosome, telomeric region:nuclear chromatin:nucleus:chromosome",chromatin DNA binding,Gon7p
"Subunit of the N-terminal acetyltransferase NatA (Nat1p, Ard1p, Nat5p); N-terminally acetylates many proteins, which influences multiple processes such as the cell cycle, heat-shock resistance, mating, sporulation, and telomeric silencing",N-terminal protein amino acid acetylation:N-terminal peptidyl-methionine acetylation,cytoplasm:mitochondrion:cytosolic ribosome:NatA complex:NatB complex,peptide alpha-N-acetyltransferase activity,Nat1p
"Enoyl reductase that catalyzes the last step in each cycle of very long chain fatty acid elongation, localizes to the ER, highly enriched in a structure marking nuclear-vacuolar junctions, coimmunoprecipitates with elongases Fen1p and Sur4p",very long-chain fatty acid metabolic process:lipid metabolic process:fatty acid metabolic process:fatty acid biosynthetic process:very long-chain fatty acid biosynthetic process:oxidation-reduction process,cytoplasm:mitochondrion:endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane,"oxidoreductase activity:oxidoreductase activity, acting on the CH-CH group of donors",Tsc13p
"DEAH-box RNA helicase involved in second catalytic step of splicing; exhibits ATP-dependent RNA unwinding activity; mediates the release of Yju2p and Cwc25p in the second step; in the absence of ATP, stabilizes the binding of Cwc25p to the spliceosome in the first catalytic step",generation of catalytic spliceosome for second transesterification step:RNA exon ligation:mRNA processing:RNA splicing,nucleus:cytoplasm:U2-type catalytic step 2 spliceosome,nucleotide binding:second spliceosomal transesterification activity:nucleic acid binding:ATP-dependent RNA helicase activity:helicase activity:ATP binding:ATP-dependent helicase activity:RNA-dependent ATPase activity:hydrolase activity,Prp16p
"Mitochondrial aminopeptidase; cleaves the N termini of at least 38 imported proteins after cleavage by the mitochondrial processing peptidase (MPP), thereby increasing their stability; member of the aminopeptidase P family",proteolysis:cellular process:protein processing:protein stabilization,nucleus:mitochondrion:mitochondrial inner membrane:membrane:extrinsic component of mitochondrial inner membrane,aminopeptidase activity:peptidase activity:metallopeptidase activity:hydrolase activity:manganese ion binding:metal ion binding,Icp55p
"Nucleosome-binding component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for vacuolar protein sorting",chromatin remodeling:protein targeting to vacuole:covalent chromatin modification:regulation of histone deacetylation:histone exchange,Swr1 complex:nucleus,nucleosome binding:histone deacetylase binding:metal ion binding,Vps71p
"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YCR001W is not an essential gene",biological_process unknown,cellular_component unknown,molecular_function unknown,YCR001W
"tRNA methyltransferase, catalyzes esterification of modified uridine nucleotides in tRNA(Arg3) and tRNA(Glu), likely as part of a complex with Trm112p; deletion confers resistance to zymocin",chronological cell aging:tRNA wobble uridine modification:regulation of translational elongation:response to stress:metabolic process:tRNA methylation:methylation:cellular response to drug:oxidation-reduction process,nucleus:cytoplasm,"tRNA binding:methyltransferase activity:ferrous iron binding:tRNA (uracil) methyltransferase activity:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors:transferase activity",Trm9p
Peripheral membrane protein of peroxisomes involved in peroxisomal inheritance; recruitment to peroxisomes is mediated by interaction with Pex3p at the peroxisomal membrane,peroxisome inheritance,peroxisome:peroxisomal membrane:extrinsic component of intraperoxisomal membrane:membrane,"molecular_function unknown:protein binding, bridging",Inp1p
Conserved component of an early step in the cytosolic Fe-S protein assembly (CIA) machinery; contains an Fe-S cluster that receives electrons from NADPH via the action of Tah18p; ortholog of human Ciapin1,apoptotic process:iron-sulfur cluster assembly:negative regulation of nitric oxide biosynthetic process:negative regulation of hydrogen peroxide-mediated programmed cell death,cytoplasm:mitochondrion:mitochondrial intermembrane space:cytosol,"protein binding:electron carrier activity:metal ion binding:iron-sulfur cluster binding:2 iron, 2 sulfur cluster binding:4 iron, 4 sulfur cluster binding",Dre2p
"Serine/threonine protein kinase that inhibits the mitotic exit network (MEN) when the spindle position checkpoint is activated; localized asymmetrically to mother cell cortex, spindle pole body and bud neck",protein phosphorylation:phosphorylation:mitotic spindle orientation checkpoint:intracellular signal transduction:protein localization to spindle pole body,nucleus:spindle pole body:cellular bud neck:cell cortex,"nucleotide binding:protein kinase activity:protein serine/threonine kinase activity:ATP binding:kinase activity:transferase activity:transferase activity, transferring phosphorus-containing groups",Kin4p
"Protein with a role in transcriptional silencing; required for normal transcription at several loci including HTA2-HTB2 and HHF2-HHT2, but not required at the other histone loci; functionally related to Spt10p",chromatin silencing at rDNA:chromatin silencing at telomere:regulation of transcription from RNA polymerase II promoter:chromatin silencing at silent mating-type cassette,"chromosome, telomeric region:nucleus",molecular_function unknown,Spt21p
"Essential protein involved in rRNA and snoRNA maturation; competes with TLC1 RNA for binding to Est2p, suggesting a role in negative regulation of telomerase; human homolog inhibits telomerase; contains a G-patch RNA interacting domain",box C/D snoRNA 3'-end processing:rRNA processing:negative regulation of telomere maintenance via telomerase:ribosome biogenesis:positive regulation of catalytic activity:negative regulation of telomerase activity,nucleus:nucleoplasm:nucleolus,nucleic acid binding:enzyme activator activity:telomerase inhibitor activity,Pxr1p
Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,biological_process unknown,cytoplasm,molecular_function unknown,YGR237C
Putative protein of unknown function and member of the seripauperin multigene family encoded mainly in subtelomeric regions; mRNA expression appears to be regulated by SUT1 and UPC2,response to stress:biological_process unknown:fungal-type cell wall organization,cellular_component unknown:fungal-type cell wall,molecular_function unknown:structural constituent of cell wall,Pau11p
"Mitochondrial inner membrane transporter, transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family",transport:sulfate transport:oxaloacetate transport:isopropylmalate transport:transmembrane transport:oxaloacetate(2-) transmembrane transport:sulfate transmembrane transport,mitochondrion:mitochondrial inner membrane:membrane:integral component of membrane,oxaloacetate secondary active transmembrane transporter activity:secondary active sulfate transmembrane transporter activity:sulfate transmembrane transporter activity:oxaloacetate transmembrane transporter activity:isopropylmalate transmembrane transporter activity:malonate(1-) transmembrane transporter activity,Oac1p
"Vacuolar membrane zinc transporter, transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency",transport:ion transport:zinc II ion transport:cellular zinc ion homeostasis:metal ion transport:transmembrane transport:zinc II ion transmembrane transport,fungal-type vacuole membrane:vacuole:vacuolar membrane:endoplasmic reticulum:membrane:integral component of membrane,zinc ion transmembrane transporter activity:metal ion transmembrane transporter activity,Zrt3p
"Hexose transporter, induced in the presence of non-fermentable carbon sources, induced by low levels of glucose, repressed by high levels of glucose",transport:carbohydrate transport:hexose transport:fructose transport:mannose transport:sorbitol transport:mannitol transport:proton transport:glucose import:transmembrane transport:glucose transmembrane transport,endoplasmic reticulum:plasma membrane:integral component of plasma membrane:membrane:integral component of membrane,transporter activity:sugar:proton symporter activity:fructose transmembrane transporter activity:glucose transmembrane transporter activity:mannose transmembrane transporter activity:transmembrane transporter activity:substrate-specific transmembrane transporter activity,Hxt13p
